number	type	direction	stop|Chandler Fashion Center|0|1	stop|Rural Rd & Chandler Blvd|50|1	stop|Rural Rd & Ray Rd|100|1	stop|Rural Rd & Elliot Rd|150|1	stop|Rural Rd & Southern Ave|200|1	stop|Tempe Transportation Center|250|1	stop|Scottsdale Rd & Mcdowell Rd|300|1	stop|Scottsdale Rd & Camelback Rd|350|1	stop|Scottsdale Rd & Lincoln Dr|400|1	stop|Scottsdale Rd & Shea Blvd|450|1	stop|Scottsdale Park And Ride|500|1	stop|Scottsdale Rd & Frank Lloyd Wright Blvd|550|1	stop|Thompson Peak Pkwy & Scottsdale Healthcare Dr|600|1	stop|Camelback Rd & Scottsdale Rd|650|1
43	N	N	-	-	-	-	-	12:18PM	12:37PM	-	-	-	-	-	-	12:48PM
44	N	N	11:45AM	11:52AM	11:55AM	12:01PM	12:12PM	12:28PM	12:47PM	12:58PM	1:07PM	1:17PM	1:23PM	1:33PM	1:43PM	-
45	N	N	-	-	-	-	-	12:38PM	12:57PM	-	-	-	-	-	-	1:08PM
46	N	N	12:05PM	12:12PM	12:15PM	12:21PM	12:32PM	12:48PM	1:07PM	1:18PM	1:27PM	1:37PM	1:43PM	1:53PM	2:03PM	-
47	N	N	-	-	-	-	-	12:58PM	1:17PM	-	-	-	-	-	-	1:28PM
48	N	N	12:25PM	12:32PM	12:35PM	12:41PM	12:52PM	1:08PM	1:27PM	1:38PM	1:47PM	1:57PM	2:04PM	2:14PM	2:24PM	-
49	N	N	-	-	-	-	-	1:18PM	1:37PM	-	-	-	-	-	-	1:48PM
50	N	N	12:45PM	12:52PM	12:55PM	1:01PM	1:12PM	1:28PM	1:47PM	1:58PM	2:08PM	2:21PM	2:29PM	2:39PM	2:49PM	-
51	N	N	-	-	-	-	-	1:38PM	1:57PM	-	-	-	-	-	-	2:09PM
52	N	N	1:05PM	1:12PM	1:15PM	1:21PM	1:32PM	1:48PM	2:07PM	2:20PM	2:30PM	2:43PM	2:51PM	3:01PM	3:11PM	-
53	N	N	-	-	-	-	-	1:58PM	2:18PM	-	-	-	-	-	-	2:31PM
54	N	N	1:25PM	1:32PM	1:35PM	1:41PM	1:52PM	2:08PM	2:28PM	2:41PM	2:51PM	3:04PM	3:12PM	3:22PM	3:32PM	-
55	N	N	-	-	-	-	-	2:18PM	2:38PM	-	-	-	-	-	-	2:51PM
56	N	N	1:42PM	1:49PM	1:52PM	1:58PM	2:11PM	2:28PM	2:48PM	3:01PM	3:11PM	3:24PM	3:32PM	3:42PM	3:52PM	-
57	N	N	-	-	-	-	-	2:38PM	2:58PM	-	-	-	-	-	-	3:11PM
58	N	N	2:01PM	2:08PM	2:12PM	2:18PM	2:31PM	2:48PM	3:08PM	3:21PM	3:31PM	3:44PM	3:52PM	4:02PM	4:12PM	-
59	N	N	-	-	-	-	-	2:58PM	3:18PM	-	-	-	-	-	-	3:31PM
60	N	N	2:21PM	2:28PM	2:32PM	2:38PM	2:51PM	3:08PM	3:28PM	3:41PM	3:51PM	4:04PM	4:12PM	4:22PM	4:32PM	-
61	N	N	-	-	-	-	-	3:18PM	3:38PM	-	-	-	-	-	-	3:51PM
62	N	N	2:41PM	2:48PM	2:52PM	2:58PM	3:11PM	3:28PM	3:48PM	4:01PM	4:11PM	4:24PM	4:32PM	4:42PM	4:52PM	-
63	N	N	-	-	-	-	-	3:38PM	3:58PM	-	-	-	-	-	-	4:11PM
64	N	N	3:01PM	3:08PM	3:12PM	3:18PM	3:31PM	3:48PM	4:08PM	4:21PM	4:31PM	4:44PM	4:52PM	5:02PM	5:12PM	-
65	N	N	-	-	-	-	-	3:58PM	4:18PM	-	-	-	-	-	-	4:31PM
66	N	N	3:21PM	3:28PM	3:32PM	3:38PM	3:51PM	4:08PM	4:28PM	4:41PM	4:51PM	5:04PM	5:12PM	5:22PM	5:32PM	-
67	N	N	-	-	-	-	-	4:18PM	4:38PM	4:51PM	5:01PM	5:14PM	5:22PM	-	-	-
68	N	N	3:41PM	3:48PM	3:52PM	3:58PM	4:11PM	4:28PM	4:48PM	5:01PM	5:11PM	5:24PM	5:32PM	5:42PM	5:52PM	-
69	N	N	-	-	-	-	-	4:38PM	4:58PM	5:11PM	5:21PM	5:34PM	5:42PM	-	-	-
70	N	N	4:01PM	4:08PM	4:12PM	4:18PM	4:31PM	4:48PM	5:08PM	5:21PM	5:31PM	5:44PM	5:52PM	6:02PM	6:12PM	-
71	N	N	-	-	-	-	-	4:58PM	5:18PM	5:31PM	5:41PM	5:54PM	6:02PM	-	-	-
72	N	N	4:21PM	4:28PM	4:32PM	4:38PM	4:51PM	5:08PM	5:28PM	5:41PM	5:51PM	6:04PM	6:12PM	6:22PM	6:32PM	-
73	N	N	-	-	-	-	-	5:18PM	5:38PM	5:51PM	6:01PM	6:14PM	6:22PM	-	-	-
74	N	N	4:41PM	4:48PM	4:52PM	4:58PM	5:11PM	5:28PM	5:48PM	6:01PM	6:11PM	6:24PM	6:32PM	6:42PM	6:52PM	-
75	N	N	-	-	-	-	-	5:38PM	5:58PM	-	-	-	-	-	-	6:11PM
76	N	N	5:01PM	5:08PM	5:12PM	5:18PM	5:31PM	5:48PM	6:08PM	6:21PM	6:31PM	6:44PM	6:52PM	7:02PM	7:12PM	-
77	N	N	-	-	-	-	-	5:58PM	6:18PM	-	-	-	-	-	-	6:31PM
78	N	N	5:21PM	5:28PM	5:32PM	5:38PM	5:51PM	6:08PM	6:28PM	6:41PM	6:51PM	7:03PM	7:08PM	7:17PM	7:27PM	-
79	N	N	-	-	-	-	-	6:18PM	6:38PM	-	-	-	-	-	-	6:51PM
80	N	N	5:43PM	5:50PM	5:54PM	6:00PM	6:13PM	6:30PM	6:50PM	7:02PM	7:10PM	7:19PM	7:24PM	7:33PM	7:43PM	-
81	N	N	6:13PM	6:20PM	6:24PM	6:30PM	6:43PM	7:00PM	7:16PM	7:26PM	7:34PM	7:43PM	7:48PM	7:57PM	8:07PM	-
82	N	N	6:48PM	6:55PM	6:59PM	7:05PM	7:16PM	7:30PM	7:46PM	7:56PM	8:04PM	8:13PM	8:18PM	8:27PM	8:37PM	-
83	N	N	7:20PM	7:26PM	7:29PM	7:35PM	7:46PM	8:00PM	8:16PM	8:26PM	8:34PM	8:43PM	8:48PM	8:57PM	9:07PM	-
84	N	N	7:50PM	7:56PM	7:59PM	8:05PM	8:16PM	8:30PM	8:46PM	8:56PM	9:04PM	9:13PM	9:18PM	9:27PM	9:37PM	-
85	N	N	8:20PM	8:26PM	8:29PM	8:35PM	8:46PM	9:00PM	9:16PM	9:26PM	9:34PM	9:43PM	9:48PM	9:57PM	10:07PM	-
86	N	N	8:50PM	8:56PM	8:59PM	9:05PM	9:16PM	9:30PM	9:46PM	9:56PM	10:04PM	10:13PM	10:18PM	10:27PM	10:37PM	-
87	N	N	9:20PM	9:26PM	9:29PM	9:35PM	9:46PM	10:00PM	10:16PM	10:26PM	10:34PM	10:43PM	10:48PM	10:57PM	11:07PM	-
88	N	N	9:50PM	9:56PM	9:59PM	10:05PM	10:16PM	10:30PM	10:46PM	10:56PM	11:04PM	11:13PM	11:18PM	11:27PM	11:37PM	-
89	N	N	10:20PM	10:26PM	10:29PM	10:35PM	10:46PM	11:00PM	-	-	-	-	-	-	-	-
90	N	N	-	-	10:59PM	11:05PM	11:16PM	11:30PM	-	-	-	-	-	-	-	-
91	N	N	-	-	11:29PM	11:35PM	11:46PM	12:00AM	-	-	-	-	-	-	-	-
92	N	N	-	-	11:59PM	12:05AM	12:16AM	12:30AM	-	-	-	-	-	-	-	-
93	B	S	6:01AM	5:55AM	5:52AM	5:46AM	5:36AM	5:20AM	-	-	-	-	-	-	-	-
