number	type	direction	stop|Broadway Rd & 19th Ave|0|1	stop|Broadway Rd & Central Ave|50|1	stop|Broadway Rd & 24th St|100|1	stop|Broadway Rd & 32nd St|150|1	stop|Broadway Rd & 48th St|200|1	stop|Broadway Rd & Hardy Dr|250|1	stop|Broadway Rd & Rural Rd|300|1	stop|Broadway Rd & Price Rd|350|1	stop|Main St & Sycamore Dr|400|1	stop|Broadway Rd & Pomeroy|450|1	stop|Broadway Rd & Mesa Dr|500|1	stop|Broadway Rd & Gilbert Rd|550|1	stop|Broadway Rd & Greenfield Rd|600|1	stop|Power Rd & Baywood Ave|650|1	stop|Superstition Springs Transit Center|700|1	stop|Price Rd & Broadway Rd|750|1
35	N	E	5:12PM	5:06PM	4:55PM	4:49PM	4:41PM	4:33PM	4:25PM	4:15PM	4:04PM	3:45PM	-	3:33PM	3:21PM	-	3:00PM	-
36	N	E	5:27PM	5:21PM	5:10PM	5:04PM	4:56PM	4:48PM	4:40PM	4:30PM	-	-	-	-	-	-	-	-
37	N	E	5:42PM	5:36PM	5:25PM	5:19PM	5:11PM	5:03PM	4:55PM	4:45PM	4:34PM	4:15PM	-	4:03PM	3:51PM	-	3:30PM	-
38	N	E	5:57PM	5:51PM	5:40PM	5:34PM	5:26PM	5:18PM	5:10PM	5:00PM	-	-	-	-	-	-	-	-
39	N	E	6:12PM	6:06PM	5:55PM	5:49PM	5:41PM	5:33PM	5:25PM	5:15PM	5:04PM	4:45PM	-	4:33PM	4:21PM	-	4:00PM	-
40	N	E	6:27PM	6:21PM	6:10PM	6:04PM	5:56PM	5:48PM	5:40PM	5:30PM	-	-	-	-	-	-	-	-
41	N	E	6:41PM	6:35PM	6:25PM	6:19PM	6:11PM	6:03PM	5:55PM	5:45PM	5:34PM	5:15PM	-	5:03PM	4:51PM	-	4:30PM	-
42	N	E	6:52PM	6:46PM	6:36PM	6:31PM	6:23PM	-	-	-	-	-	-	-	-	-	-	-
43	N	E	7:07PM	7:01PM	6:51PM	6:46PM	6:40PM	6:33PM	6:25PM	6:15PM	6:04PM	5:45PM	-	5:33PM	5:21PM	-	5:00PM	-
44	N	E	7:35PM	7:29PM	7:19PM	7:14PM	7:08PM	7:01PM	6:54PM	6:45PM	6:35PM	6:16PM	-	6:04PM	5:52PM	-	5:31PM	-
45	N	E	8:05PM	7:59PM	7:49PM	7:44PM	7:38PM	7:31PM	7:24PM	7:15PM	7:05PM	6:47PM	-	6:38PM	6:28PM	-	6:07PM	-
46	N	E	8:35PM	8:29PM	8:19PM	8:14PM	8:08PM	8:01PM	7:54PM	7:45PM	7:35PM	7:17PM	-	7:08PM	6:58PM	-	6:38PM	-
47	N	E	9:05PM	8:59PM	8:49PM	8:44PM	8:38PM	8:31PM	8:24PM	8:15PM	8:05PM	7:47PM	-	7:38PM	7:28PM	-	7:08PM	-
48	N	E	9:35PM	9:29PM	9:19PM	9:14PM	9:08PM	9:01PM	8:54PM	8:45PM	8:35PM	8:17PM	-	8:08PM	7:58PM	-	7:38PM	-
49	N	E	10:05PM	9:59PM	9:49PM	9:44PM	9:38PM	9:31PM	9:24PM	9:15PM	9:05PM	8:47PM	-	8:38PM	8:28PM	-	8:08PM	-
50	N	E	10:35PM	10:29PM	10:19PM	10:14PM	10:08PM	10:01PM	9:54PM	9:45PM	9:35PM	9:17PM	-	9:08PM	8:58PM	-	8:38PM	-
51	N	E	11:05PM	10:59PM	10:49PM	10:44PM	10:38PM	10:31PM	10:24PM	10:15PM	10:05PM	9:47PM	-	9:38PM	9:28PM	-	9:08PM	-
52	N	E	11:35PM	11:29PM	11:19PM	11:14PM	11:08PM	11:01PM	10:54PM	10:45PM	10:35PM	10:17PM	-	10:08PM	9:58PM	-	9:38PM	-
53	N	E	12:05AM	11:59PM	11:49PM	11:44PM	11:38PM	11:31PM	11:24PM	11:15PM	11:05PM	10:47PM	-	10:38PM	10:28PM	-	10:08PM	-
54	N	E	12:35AM	12:29AM	12:19AM	12:14AM	12:08AM	12:01AM	11:54PM	11:45PM	-	-	-	-	-	-	-	-
55	N	E	1:05AM	12:59AM	12:49AM	12:44AM	12:38AM	12:31AM	12:24AM	12:15AM	-	-	-	-	-	-	-	-
56	B	W	4:10AM	4:16AM	4:26AM	4:30AM	4:36AM	-	-	-	-		-	-	-	-	-	-
57	B	W	4:50AM	4:56AM	5:06AM	5:10AM	5:16AM	5:22AM	5:28AM	5:35AM	5:43AM		5:57AM	6:06AM	6:16AM	6:27AM	6:38AM	-
58	B	W	5:19AM	5:25AM	5:35AM	5:39AM	5:45AM	5:51AM	5:57AM	6:05AM	6:14AM		6:30AM	6:40AM	6:50AM	7:01AM	7:12AM	-
59	B	W	5:31AM	5:37AM	5:47AM	5:51AM	5:57AM	6:04AM	6:11AM	-	-		-	-	-	-	-	6:20AM
60	B	W	5:44AM	5:50AM	6:00AM	6:05AM	6:13AM	6:20AM	6:27AM	6:35AM	6:44AM		7:00AM	7:10AM	7:20AM	7:31AM	7:42AM	-
61	B	W	5:55AM	6:02AM	6:14AM	6:19AM	6:27AM	6:34AM	6:41AM	-	-		-	-	-	-	-	6:50AM
62	B	W	6:11AM	6:18AM	6:30AM	6:35AM	6:43AM	6:50AM	6:57AM	7:05AM	7:14AM		7:30AM	7:40AM	7:50AM	8:01AM	8:12AM	-
63	B	W	6:25AM	6:32AM	6:44AM	6:49AM	6:57AM	7:04AM	7:11AM	-	-		-	-	-	-	-	7:20AM
64	B	W	6:41AM	6:48AM	7:00AM	7:05AM	7:13AM	7:20AM	7:27AM	7:35AM	7:44AM		8:00AM	8:10AM	8:20AM	8:31AM	8:42AM	-
65	B	W	6:55AM	7:02AM	7:14AM	7:19AM	7:27AM	7:34AM	7:41AM	-	-		-	-	-	-	-	7:50AM
66	B	W	7:11AM	7:18AM	7:30AM	7:35AM	7:43AM	7:50AM	7:57AM	8:05AM	8:14AM		8:30AM	8:40AM	8:50AM	9:01AM	9:12AM	-
67	B	W	7:25AM	7:32AM	7:44AM	7:49AM	7:57AM	8:04AM	8:11AM	-	-		-	-	-	-	-	8:20AM
68	B	W	7:41AM	7:48AM	8:00AM	8:05AM	8:13AM	8:20AM	8:27AM	8:35AM	8:44AM		9:00AM	9:08AM	9:17AM	9:28AM	9:39AM	-
69	B	W	8:01AM	8:08AM	8:20AM	8:25AM	8:33AM	-	-	-	-		-	-	-	-	-	-
70	B	W	8:13AM	8:20AM	8:32AM	8:37AM	8:45AM	8:52AM	8:59AM	9:06AM	9:15AM		9:31AM	9:39AM	9:48AM	9:59AM	10:10AM	-
