number	type	direction	stop|Ray Rd & 48th St|0|1	stop|Priest Dr & Ray Rd|50|1	stop|Priest Dr Dr & Elliot Rd|100|1	stop|Priest Dr & Baseline Rd|150|1	stop|Priest Dr & Southern Ave|200|1	stop|Priest Dr & University Dr|250|1	stop|Priest Dr & Washington St|300|1	stop|The Phoenix Zoo|350|1	stop|Desert Botanical Garden|400|1	stop|McDowell Rd & Scottsdale Rd|450|1
51	B	S	5:52AM	5:47AM	5:41AM	5:33AM	5:29AM	5:20AM	5:15AM	-	-	-
52	B	S	-	-	6:11AM	6:03AM	5:59AM	5:50AM	5:45AM	-	-	-
53	B	S	6:37AM	6:32AM	6:26AM	6:18AM	6:14AM	6:05AM	6AM	-	-	-
54	B	S	-	-	6:41AM	6:33AM	6:29AM	6:20AM	6:15AM	-	-	-
55	B	S	7:07AM	7:02AM	6:56AM	6:48AM	6:44AM	6:35AM	6:30AM	6:24AM	6:15AM	6:03AM
56	B	S	-	-	7:11AM	7:03AM	6:59AM	6:50AM	6:45AM	-	-	-
57	B	S	7:37AM	7:32AM	7:26AM	7:18AM	7:14AM	7:05AM	7AM	6:54AM	6:45AM	6:33AM
58	B	S	-	-	7:41AM	7:33AM	7:29AM	7:20AM	7:15AM	-	-	-
59	B	S	8:07AM	8:02AM	7:56AM	7:48AM	7:44AM	7:35AM	7:30AM	7:24AM	7:15AM	7:03AM
60	B	S	-	-	8:11AM	8:03AM	7:59AM	7:50AM	7:45AM	-	-	-
61	B	S	8:37AM	8:32AM	8:26AM	8:18AM	8:14AM	8:05AM	8AM	7:54AM	7:45AM	7:33AM
62	B	S	-	-	8:41AM	8:33AM	8:29AM	8:20AM	8:15AM	-	-	-
63	B	S	9:07AM	9:02AM	8:56AM	8:48AM	8:44AM	8:35AM	8:30AM	8:24AM	8:15AM	8:03AM
64	B	S	9:37AM	9:32AM	9:26AM	9:18AM	9:14AM	9:05AM	9AM	8:54AM	8:45AM	8:33AM
65	B	S	10:07AM	10:02AM	9:56AM	9:48AM	9:44AM	9:35AM	9:30AM	9:24AM	9:15AM	9:03AM
66	B	S	10:37AM	10:32AM	10:26AM	10:18AM	10:14AM	10:05AM	10AM	9:54AM	9:45AM	9:33AM
67	B	S	11:07AM	11:02AM	10:56AM	10:48AM	10:44AM	10:35AM	10:30AM	10:24AM	10:15AM	10:03AM
68	B	S	11:37AM	11:32AM	11:26AM	11:18AM	11:14AM	11:05AM	11AM	10:54AM	10:45AM	10:33AM
69	B	S	12:07PM	12:02PM	11:56AM	11:48AM	11:44AM	11:35AM	11:30AM	11:24AM	11:15AM	11:03AM
70	B	S	12:37PM	12:32PM	12:26PM	12:18PM	12:14PM	12:05PM	12PM	11:54AM	11:45AM	11:33AM
71	B	S	1:07PM	1:02PM	12:56PM	12:48PM	12:44PM	12:35PM	12:30PM	12:24PM	12:15PM	12:03PM
72	B	S	1:37PM	1:32PM	1:26PM	1:18PM	1:14PM	1:05PM	1PM	12:54PM	12:45PM	12:33PM
73	B	S	2:07PM	2:02PM	1:56PM	1:48PM	1:44PM	1:35PM	1:30PM	1:24PM	1:15PM	1:03PM
74	B	S	2:37PM	2:32PM	2:26PM	2:18PM	2:14PM	2:05PM	2PM	1:54PM	1:45PM	1:33PM
75	B	S	3:07PM	3:02PM	2:56PM	2:48PM	2:44PM	2:35PM	2:30PM	2:24PM	2:15PM	2:03PM
76	B	S	3:37PM	3:32PM	3:26PM	3:18PM	3:14PM	3:05PM	3PM	2:54PM	2:45PM	2:33PM
77	B	S	-	-	3:43PM	3:33PM	3:29PM	3:20PM	3:15PM	-	-	-
78	B	S	4:11PM	4:06PM	4PM	3:50PM	3:46PM	3:36PM	3:30PM	3:24PM	3:15PM	3:03PM
79	B	S	-	-	4:15PM	4:05PM	4:01PM	3:51PM	3:45PM	-	-	-
80	B	S	4:41PM	4:36PM	4:30PM	4:20PM	4:16PM	4:06PM	4PM	3:54PM	3:45PM	3:33PM
81	B	S	-	-	4:45PM	4:35PM	4:31PM	4:21PM	4:15PM	-	-	-
82	B	S	5:11PM	5:06PM	5PM	4:50PM	4:46PM	4:36PM	4:30PM	4:24PM	4:15PM	4:03PM
83	B	S	-	-	5:15PM	5:05PM	5:01PM	4:51PM	4:45PM	-	-	-
